idx,sentence
1333,"but eager as he was to be a soldier, he scarcely dared touch on the"
2941,"The widow, occupied as she had been with the cares of a great dinner,"
1096,Strong as Madame Esmond's belief appeared to be respecting her son's
2827,"I , unworthy as I am , represent the sole hope of the royal family ."
2484,"“Why, I declare the Shoes look just like my own,” said one of the clerks, eying the newly-found treasure, whose hidden powers, even he, sharp as he was, was not able to discover."
3354,"reprobate as he was, was a man of talent; his conversation was a thousand"
1044,"All of these details, foolish and sentimental as they may seem, go to"
1652,"Gerda knew every flower; and, numerous as they were, it still seemed to Gerda that one was wanting, though she did not know which."
3006,"sewed up those corduroys, tight as they were."
457,"I , unworthy as I am , represent the sole hope of the royal family ."
3754,"But they were all taken in by the image of the King, for, clever as they were, the Mermaid was still cleverer, and all they could do was to help the Fairy of the Desert to make a wonderful monument over what they thought was the grave of the King of the Gold Mines."
3761,"Frightful as this encounter was the King’s courage was unshaken, and by the aid of his wonderful sword he cut them in pieces one after the other."
1893,"The King himself, old as he was, could not help watching her, and telling the Queen softly that it was a long time since he had seen so beautiful and lovely a creature."
642,"So everything went on for a long time, until at last, happy as she was, Beauty began to long for the sight of her father and her brothers and sisters; and one night, seeing her look very sad, the Beast asked her what was the matter."
813,"After much consideration, he answered: “You tell me yourself that the Beast, frightful as he is, loves you dearly, and deserves your love and gratitude for his gentleness and kindness; I think the Prince must mean you to understand that you ought to reward him by doing as he wishes you to, in spite of his ugliness.”"
2413,"“No, indeed, you shall not do that,” said the bailiff; “I am the one to do that.” And, big and fat as he was, he went out as briskly as a boy."
2695,"He ordered the troll-witch who had rolled the apple to him to be torn in pieces between four-and-twenty horses, so that not a bit of her was left, and then for the first time they began really to keep the wedding, and, weary as they were, the sheriff, the attorney, and the bailiff kept it up too."
3480,"several times, as loud as he could."
1282,"Fond as they all were of one another, the two eldest could not help being glad to think that their dogs certainly had a better chance."
2716,"Yet, cowardly as he was, he had not quite the heart to kill the Princess and her baby outright, but he had them put in a huge brass-bound chest and thrust out to sea, that they might either be drowned or starved, or perhaps come to a country where they would be out of his way."
2731,"Prisoner though he was, the King of the Sheep had still some powers and privileges."
2822,"Short as Miranda’s absence had been, it had seemed like a hundred years to the King of the Sheep."
2554,"Now Jaqueline saw that the Giant , big as he was , courageous too , was afraid of his wife !"
2812,"Presently Suliman made a sign with his hand that the people should be silent, and said: “I have accepted the crown you have offered me, but only that I may keep it for Prince Darling, who is not dead as you suppose; the Fairy has assured me that there is still hope that you may some day see him again, good and virtuous as he was when he first came to the throne."
572,"“It’s a mercy,” he said, “that they didn’t root up the tree on which I was perched, or I should have had to jump like a squirrel on to another, which, nimble though I am, would have been no easy job.” He drew his sword and gave each of the giants a very fine thrust or two on the breast, and then went to the horsemen and said: “The deed is done, I’ve put an end to the two of them; but I assure you it has been no easy matter, for they even tore up trees in their struggle to defend themselves; but all that’s of no use against one who slays seven men at a blow.” “Weren’t you wounded?” asked the horsemen."
1234,"“For,” he said, “however flourishing we may seem to foreigners, we are in danger of an invasion from the island of Blefuscu, which is the other great empire of the universe, almost as large and as powerful as this of his Majesty."
2171,"“You, indeed!” said the brothers, “you look as if you were fit to be among such great lords, nasty beast that you are to sit there!”"
1455,Encumbered as he was with a double armful of girl and a fairly heavy
3053,"a fool as you seem to think, Racey."
813,"He ran about the room, dug in all the boxes and drawers, and even looked under the bed in search of a piece of bread, hard though it might be, or a cookie, or perhaps a bit of fish."
2332,"Then, clever as I am, I can earn a lot of money."
3950,Funny though I mean I've never known problem before.
1043,"But they were all taken in by the image of the King , for , clever as they were , the Mermaid was still cleverer , and all they could do was to help the Fairy of the Desert to make a wonderful monument over what they thought was the grave of the King of the Gold Mines ."
1099,"Frightful as this encounter was the King 's courage was unshaken , and by the aid of his wonderful sword he cut them in pieces one after the other ."
3394,"As he spoke, his nose, long though it was, became at least two inches longer."
283,"The King himself , old as he was , could not help watching her , and telling the Queen softly that it was a long time since he had seen so beautiful and lovely a creature ."
1974,"Strange though it may seem, the Dog could not swim."
3295,"Lightly clad as he was, he started out toward the village."
1720,"Its population, large though it was, was composed wholly of boys."
3139,"So everything went on for a long time , until at last , happy as she was , Beauty began to long for the sight of her father and her brothers and sisters ; and one night , seeing her look very sad , the Beast asked her what was the matter ."
3869,"After much consideration , he answered : `` You tell me yourself that the Beast , frightful as he is , loves you dearly , and deserves your love and gratitude for his gentleness and kindness ; I think the Prince must mean you to understand that you ought to reward him by doing as he wishes you to , in spite of his ugliness . ''"
3614,"And , big and fat as he was , he went out as briskly as a boy ."
101,"He ordered the troll-witch who had rolled the apple to him to be torn in pieces between four-and-twenty horses , so that not a bit of her was left , and then for the first time they began really to keep the wedding , and , weary as they were , the sheriff , the attorney , and the bailiff kept it up too ."
1600,"several times , as loud as he could ."
2641,trustworthy as the local police and other authorities believe you to
967,"Fond as they all were of one another , the two eldest could not help being glad to think that their dogs certainly had a better chance ."
956,"Yet , cowardly as he was , he had not quite the heart to kill the Princess and her baby outright , but he had them put in a huge brass-bound chest and thrust out to sea , that they might either be drowned or starved , or perhaps come to a country where they would be out of his way ."
1802,"Prisoner though he was , the King of the Sheep had still some powers and privileges ."
