sentence_idx,PREP,ADJ,PRON,VERB,sentence
2,as,excited,I,am,"Well that's it for our first look at our new building, I hope you're as excited as I am, and I hope to come back in a month or so and give you an updated look at our new building."
9364,than,more,it,produces,This country has started consuming considerably more than it produces.
11603,than,tougher,you,could,My job was tougher than you could imagine.
20180,than,cleverer,I,look,Iím cleverer than I look.
24833,as,sentimental,they,may,"All of these details, foolish and sentimental as they may seem, go to"
30014,as,sensitive,I,am,"No one in the whole world is so sensitive as I am, I am quite sure of that.”"
31489,as,unworthy,I,am,"I , unworthy as I am , represent the sole hope of the royal family ."
36492,than,older,I,am,“There's many a one considerably older than I am.”
37814,than,older,they,are,"Their brother, who is older than they are, stands up in the swing; he twines his arms round the cords to hold himself fast, for in one hand he has a little cup, and in the other a clay-pipe."
43295,as,unworthy,I,am,"I , unworthy as I am , represent the sole hope of the royal family ."
47844,as,good,it,could,"Now they had everything that they wanted, and everything was as good as it could be."
47984,than,stronger,I,am,"“Well,” said the East Wind, “I have heard tell of the Prince, and of his castle, but I do not know the way to it, for I have never blown so far; but, if you like, I will go with you to my brother the West Wind: he may know that, for he is much stronger than I am."
48270,as,much,they,can,"Yeah and, and concerned that, in as much as they can be."
48725,as,clever,she,is,"“And what do you want with her, pretty one?” said the little monster, “for I am a friend of hers, and, for the matter of that, I am quite as clever as she is.”"
49176,than,powerful,you,are,"Just try to take it off, and you will soon find out that I am more powerful than you are!”"
52978,as,clever,you,say,"“Now that’s a talent worth having,” said the King to the miller; “if your daughter is as clever as you say, bring her to my palace to-morrow, and I’ll put her to the test.” When the girl was brought to him he led her into a room full of straw, gave her a spinning-wheel and spindle, and said: “Now set to work and spin all night till early dawn, and if by that time you haven’t spun the straw into gold you shall die.” Then he closed the door behind him and left her alone inside."
53292,than,older,she,is,Her husband's a lot older than she is.
53727,as,unfortunate,you,suppose,you are not so unfortunate as you suppose.
54334,as,frightful,he,is,"After much consideration, he answered: “You tell me yourself that the Beast, frightful as he is, loves you dearly, and deserves your love and gratitude for his gentleness and kindness; I think the Prince must mean you to understand that you ought to reward him by doing as he wishes you to, in spite of his ugliness.”"
55040,as,much,I,can,"“Then someone will come out who will sparkle with fire; you shall tell him your errand, and when he asks you how much you want to have you are to say: ‘As much as I can carry.’”"
60243,than,fascinating,I,am,"“Ha, ha!” said he; “does he laugh at my unhappiness, and think himself more fascinating than I am?"
64351,as,Old,I,am,"The thief bade him good-day, saying: “Honest man, how can you possibly see to stitch at your age?” “Old as I am,” replied the cobbler, “I have very good eyes, and will you believe me when I tell you that I sewed a dead body together in a place where I had less light than I have now.” The robber was overjoyed at his good fortune, and, giving him a piece of gold, desired to be shown the house where he stitched up the dead body."
