,idx,sentence,prefixes,aann,default_nan,order_swap,no_article,no_modifier,no_numeral
0,1,The family spent an astonishing three days in London.,The family spent,an astonishing three days,three astonishing days,an astonishing three days,three astonishing days,a three days,an astonishing days
1,2,The family spent an astonishing three weeks in London.,The family spent,an astonishing three weeks,three astonishing weeks,an astonishing three weeks,three astonishing weeks,a three weeks,an astonishing weeks
2,3,The family spent an astonishing three months in London.,The family spent,an astonishing three months,three astonishing months,an astonishing three months,three astonishing months,a three months,an astonishing months
3,4,The family spent an astonishing three years in London.,The family spent,an astonishing three years,three astonishing years,an astonishing three years,three astonishing years,a three years,an astonishing years
4,5,The family spent an astonishing three hours in London.,The family spent,an astonishing three hours,three astonishing hours,an astonishing three hours,three astonishing hours,a three hours,an astonishing hours
5,6,The family spent an astonishing five days in London.,The family spent,an astonishing five days,five astonishing days,an astonishing five days,five astonishing days,a five days,an astonishing days
6,7,The family spent an astonishing five weeks in London.,The family spent,an astonishing five weeks,five astonishing weeks,an astonishing five weeks,five astonishing weeks,a five weeks,an astonishing weeks
7,8,The family spent an astonishing five months in London.,The family spent,an astonishing five months,five astonishing months,an astonishing five months,five astonishing months,a five months,an astonishing months
8,9,The family spent an astonishing five years in London.,The family spent,an astonishing five years,five astonishing years,an astonishing five years,five astonishing years,a five years,an astonishing years
9,10,The family spent an astonishing five hours in London.,The family spent,an astonishing five hours,five astonishing hours,an astonishing five hours,five astonishing hours,a five hours,an astonishing hours
10,11,The family spent an astonishing twenty days in London.,The family spent,an astonishing twenty days,twenty astonishing days,an astonishing twenty days,twenty astonishing days,a twenty days,an astonishing days
11,12,The family spent an astonishing twenty weeks in London.,The family spent,an astonishing twenty weeks,twenty astonishing weeks,an astonishing twenty weeks,twenty astonishing weeks,a twenty weeks,an astonishing weeks
12,13,The family spent an astonishing twenty months in London.,The family spent,an astonishing twenty months,twenty astonishing months,an astonishing twenty months,twenty astonishing months,a twenty months,an astonishing months
13,14,The family spent an astonishing twenty years in London.,The family spent,an astonishing twenty years,twenty astonishing years,an astonishing twenty years,twenty astonishing years,a twenty years,an astonishing years
14,15,The family spent an astonishing twenty hours in London.,The family spent,an astonishing twenty hours,twenty astonishing hours,an astonishing twenty hours,twenty astonishing hours,a twenty hours,an astonishing hours
15,16,The family spent an incredible three days in London.,The family spent,an incredible three days,three incredible days,an incredible three days,three incredible days,a three days,an incredible days
16,17,The family spent an incredible three weeks in London.,The family spent,an incredible three weeks,three incredible weeks,an incredible three weeks,three incredible weeks,a three weeks,an incredible weeks
17,18,The family spent an incredible three months in London.,The family spent,an incredible three months,three incredible months,an incredible three months,three incredible months,a three months,an incredible months
18,19,The family spent an incredible three years in London.,The family spent,an incredible three years,three incredible years,an incredible three years,three incredible years,a three years,an incredible years
19,20,The family spent an incredible three hours in London.,The family spent,an incredible three hours,three incredible hours,an incredible three hours,three incredible hours,a three hours,an incredible hours
20,21,The family spent an incredible five days in London.,The family spent,an incredible five days,five incredible days,an incredible five days,five incredible days,a five days,an incredible days
21,22,The family spent an incredible five weeks in London.,The family spent,an incredible five weeks,five incredible weeks,an incredible five weeks,five incredible weeks,a five weeks,an incredible weeks
22,23,The family spent an incredible five months in London.,The family spent,an incredible five months,five incredible months,an incredible five months,five incredible months,a five months,an incredible months
23,24,The family spent an incredible five years in London.,The family spent,an incredible five years,five incredible years,an incredible five years,five incredible years,a five years,an incredible years
24,25,The family spent an incredible five hours in London.,The family spent,an incredible five hours,five incredible hours,an incredible five hours,five incredible hours,a five hours,an incredible hours
25,26,The family spent an incredible twenty days in London.,The family spent,an incredible twenty days,twenty incredible days,an incredible twenty days,twenty incredible days,a twenty days,an incredible days
26,27,The family spent an incredible twenty weeks in London.,The family spent,an incredible twenty weeks,twenty incredible weeks,an incredible twenty weeks,twenty incredible weeks,a twenty weeks,an incredible weeks
27,28,The family spent an incredible twenty months in London.,The family spent,an incredible twenty months,twenty incredible months,an incredible twenty months,twenty incredible months,a twenty months,an incredible months
28,29,The family spent an incredible twenty years in London.,The family spent,an incredible twenty years,twenty incredible years,an incredible twenty years,twenty incredible years,a twenty years,an incredible years
29,30,The family spent an incredible twenty hours in London.,The family spent,an incredible twenty hours,twenty incredible hours,an incredible twenty hours,twenty incredible hours,a twenty hours,an incredible hours
