HITId,WorkerId,batch,kind,itemnum,value,English,country,answer,sentence
adjH174,adjS9,1,Input.id,1,hefty-five-chairs-sent-objects-0,TRUE,TRUE,4,She bought a hefty five chairs.
adjH167,adjS175,1,Input.id,1,extra-three-students-sent-human-1,TRUE,TRUE,10,An extra three students greeted us at the door.
adjH59,adjS182,1,Input.id,1,mediocre-three-students-sent-human-2,TRUE,TRUE,2,We congratulated a mediocre three students.
adjH99,adjS83,1,Input.id,1,pathetic-five-shows-sent-art-1,TRUE,TRUE,8,I experienced a pathetic five shows.
adjH20,adjS109,1,Input.id,1,soothing-three-Americans-sent-human-0,TRUE,TRUE,3,We served dinner to a soothing three Americans.
adjH14,adjS181,1,Input.id,1,enchanting-three-steps-sent-distance-2,TRUE,TRUE,7,Someone traveled an enchanting three steps.
adjH144,adjS123,1,Input.id,1,staggering-three-shows-sent-art-2,TRUE,TRUE,9,Please enjoy a staggering three shows.
adjH151,adjS48,1,Input.id,1,hefty-five-operas-sent-art-1,FALSE,FALSE,5,I experienced a hefty five operas.
adjH81,adjS143,1,Input.id,1,soothing-five-acts-sent-unitlike-1,TRUE,TRUE,7,They consumed a soothing five acts.
adjH126,adjS98,1,Input.id,1,enchanting-three-months-sent-temporal-1,TRUE,TRUE,9,The diplomat worked an enchanting three months in Nairobi.
adjH171,adjS21,1,Input.id,1,mediocre-five-yards-sent-distance-1,TRUE,TRUE,8,Somone walked a mediocre five yards.
adjH34,adjS172,1,Input.id,1,substantial-three-movies-sent-art-2,TRUE,TRUE,2,Please enjoy a substantial three movies.
adjH63,adjS200,1,Input.id,1,mediocre-five-movies-sent-art-1,TRUE,TRUE,3,I experienced a mediocre five movies.
adjH37,adjS62,1,Input.id,1,extra-five-operas-sent-art-2,TRUE,TRUE,9,Please enjoy an extra five operas.
adjH89,adjS163,1,Input.id,1,meager-twenty-hours-sent-temporal-1,TRUE,TRUE,8,The diplomat worked a meager twenty hours in Nairobi.
adjH87,adjS6,1,Input.id,1,record-setting-five-years-sent-temporal-0,TRUE,TRUE,10,The family spent a record-setting five years in London.
adjH78,adjS178,1,Input.id,1,unsatisfying-five-meters-sent-distance-1,TRUE,TRUE,8,Somone walked an unsatisfying five meters.
adjH183,adjS139,1,Input.id,1,ugly-twenty-paragraphs-sent-unitlike-2,TRUE,TRUE,9,It lasted an ugly twenty paragraphs.
adjH65,adjS104,1,Input.id,1,remarkable-three-athletes-sent-human-2,TRUE,TRUE,6,We congratulated a remarkable three athletes.
adjH146,adjS162,1,Input.id,1,lovely-three-months-sent-temporal-2,TRUE,TRUE,10,The tourish stayed a lovely three months in Papua New Guinea.
adjH157,adjS151,1,Input.id,1,paltry-twenty-steps-sent-distance-2,TRUE,TRUE,10,Someone traveled a paltry twenty steps.
adjH3,adjS111,1,Input.id,1,meager-five-paragraphs-sent-unitlike-1,TRUE,TRUE,8,They consumed a meager five paragraphs.
adjH58,adjS150,1,Input.id,1,lovely-three-movies-sent-art-2,TRUE,TRUE,3,Please enjoy a lovely three movies.
adjH145,adjS179,1,Input.id,1,haunting-three-shows-sent-art-1,TRUE,TRUE,2,I experienced a haunting three shows.
adjH27,adjS101,1,Input.id,1,hefty-three-operas-sent-art-2,TRUE,TRUE,3,Please enjoy a hefty three operas.
adjH79,adjS102,1,Input.id,1,substantial-five-operas-sent-art-1,TRUE,TRUE,1,I experienced a substantial five operas.
adjH53,adjS67,1,Input.id,1,surprising-five-blocks-sent-distance-2,TRUE,TRUE,6,Someone traveled a surprising five blocks.
