sentence_idx,sentence
247,The last two reasons
286,the final two partial products
341,The first two digits
342,the other two digits
884,a smaller three to four people
1074,these next few videos
1427,the last eight years
1430,the last three years
1441,the last eight years
2481,a good few seasons
2887,the first few moments
3810,the last 2 days
4892,the first three chords
5600,the past about eighteen months
5726,the next few weeks
6998,the last eighteen months
8172,the Iast few weeks
8473,the last three months
8713,the last two years
9361,the last few decades
10480,the top 64 snooker players
10524,"the closest 68,000 galaxies"
11143,the top 64 snooker players
11270,that non - zero number zero times
11341,the top 32 snooker players
11371,the first nineteen years
11579,the other 9 districts
12038,the future M S two posts
12471,the past four bloody years
12820,the top 64 snooker players
12856,a further two men
12974,an English former professional snooker player and six - times
13206,the next two years
13332,the last few weeks
13344,the last 20 years
13930,the past three years
14222,an uneventful few months
14321,A further five victories
14504,the other four sections
14685,the other 3 subsets
14921,the first five levels
14937,the first five levels
16576,an extra two to three people
16618,the top 32 snooker players
17430,the top 33 snooker players
17769,the largest two - year colleges
18115,a full three days
19884,the extra three thousand pounds
20517,the old step one critiques
21921,"the same , about ten pounds"
22479,the last few decades
22925,the top 32 snooker players
23272,the latter two recommendations
23825,The only two newspapers
24462,the first two British carriers
24544,the forward 4 - inch guns
24578,the next several years
24858,the next three months
24904,the German battleship six times
24917,the next several days
25036,a further three schools
25064,the first two years
25160,a mere 8 years
25474,a further three schools
26000,these last few things
26062,that unlucky champion three times
26262,the second two categories
26266,those second two headings
28788,a great many friends
29044,a great many people
29414,the top two teams
29550,the first four bubbles
29553,a great many good points
29620,the next three bubbles
29666,the last six bubbles
29672,the first four bubbles
29684,the next three days
29703,the next three bubbles
29728,the next two bubbles
29793,a great many times
29837,the last three games
29856,the other eleven divisions
29894,the next three bubbles
29896,the next two bubbles
29919,the next three bubbles
29960,the next two bubbles
29994,the last sixteen bubbles
30197,the next sixty years
30202,the next few decades
30228,the next few years
30247,the next few years
30323,the first six bubbles
30415,the first six bubbles
30427,the last four bubbles
30437,the next two bubbles
30480,the first eight bubbles
30571,the next three bubbles
30588,the last three bubbles
30644,the next two bubbles
30686,the last two bubbles
30742,the next three bubbles
30807,the last three bubbles
30970,the next three bubbles
30986,the next two bubbles
31016,the next two bubbles
31031,the last two bubbles
31053,the next three bubbles
31067,the first twenty four bubbles
31461,The following 18 political parties
31852,the last two yellow bubbles
31931,the last two yellow bubbles
31943,the first two CD albums
32253,"this , and taken just three steps"
33036,the next three days
33409,the first several years
33769,the Taiwanese leadership two choices
34150,the next few years
34347,a great many persons
35701,the first five years
35745,the first few years
36563,the last 110 years
37706,the only two tones
38009,a small oil study and several drawings
38010,the top two - thirds
38791,the first three miles
40066,a career - high 15 strikeouts
40111,a club - record 109 games
40146,the last ten years
40245,the next eight innings
40712,the last ten years
42241,the next several years
44104,"this , and taken just three steps"
45860,a final few moments
45942,the first two series
46090,the last few decades
46350,the final four finalists
46662,the next five years
46956,the other two mice
47983,a great many days
48119,the next three games
48143,the next two seasons
48239,a great many children
48388,the next six seasons
50791,the first two games
51909,the top four teams
52634,A good many years
53260,the next three years
54064,the other seven windows
54935,a professional basketball arena and many other sport facilities
55149,the other two evenings
56273,"an old cap or two , a pair of boots"
56462,a great many cunning tricks
56829,The lower 6 miles
56927,the only three people
56953,an estimated 400 people
57401,a great many days
57750,a great many things
58229,a special 100 naira
58320,An estimated 20 % of children
58949,an old woman and three maidens
59646,the first 16 years
59952,The other two bakers
60004,a good many difficult things
62757,the top ten actors
62902,the next 500 years
62965,all at least eight feet
62985,the first 200 years
63518,a great many others
63558,The first two singles
63802,the last two days
64435,a great many journeys
65093,the first few years
65404,the last few decades
65405,the past three decades
65409,the next 20 years
65677,the last three kanji
66022,the lower 10 miles
66356,a mere 0.02 seconds
66370,a manual 14.8 seconds
66512,the last ten minutes
67870,a heavy heart and many sighs
68769,an additional seven to eight feet
69071,the next four years
69430,the last two years
69431,the last two years
70282,a great many young children
70295,a great many persons
70335,the other two Princes
70985,the top four finishers
71021,the top 14 teams
71023,the bottom 4 teams
71024,the top 4 teams
71349,the top two divisions
71366,A great many officers
71579,the other two mice
71811,the last three games
71914,a good many other folks
72017,The lower 30 mi
72133,the last several years
72747,a great many doors
73045,the last five races
73297,The bottom 6 teams
74029,the next eighteen months
74097,a great many days
74122,the last two decades
74644,the next seven years
75028,the first few chapters
75030,the first few chapters
75040,a great many children
76125,the appropriate real formula_5 '
76384,the first five years
76914,the last 2000 years
77314,the last forty years
77562,the next few years
78489,the same two horrible voices
78636,the same two cliques
78867,the corresponding two edges
79153,the next few years
80169,this past couple months
80212,these past two months
80323,a good many people
80920,the only two members
81092,the past two decades
82078,the last four months
82783,the last few days
82794,the past two years
83662,a career - high 30 points
83836,the bottom three floors
84608,the last three years
85674,the first three weeks
85733,The other two spies
85979,the next 800 years
86713,a quick two minutes
86741,the next five years
87096,a hulking 261 pounds
87664,the last three years
87960,the past two months
88015,a further six weeks
88087,the other 23 hours
88586,the last thirty years
89341,the Japanese camp several times
89394,The last 220 troops
90058,the last 100 years
90094,the next two decades
90104,the first two weeks
90222,the first two dynasties
90331,a good few years
90375,the top - four stations
90572,the last 30 years
91185,the next two years
91232,the other seven windows
91520,the first few bites
91528,a new site 65 meters
91710,the last 3280 years
92837,the first few months
93361,the first nine annual entries
93486,the past few years
93544,the first five dynasties
94185,the other two evenings
95424,the estimated 55 million litres
96006,the last 10 years
96082,the last 147 years
96611,The upper two rows
97078,a great many cunning tricks
97733,the last three albums
97839,the record 4 and half stars
97924,a record 32 teams
98452,a great many days
100154,the first two stars
100994,a little girl three years
102023,a heavy heart and many sighs
102160,a great many days
102464,an old woman and three maidens
102516,the slaughtered cow three days
103215,the first two soldiers
103324,"the desired 4,000 men"
103446,The first seven battalions
104111,the next few years
104612,the past two days
105234,the same time three ravens
105288,the first three digits
105717,the first three years
105793,"a further 75,000 immigrants"
106729,the last few years
109161,These last four copies
109521,the next thirty years
109927,the top two third tier teams
110319,"a further 250,000 copies"
110402,"a mere 25,000 copies"
110419,the other two boys
111264,the previous 15 to 20 years
111406,the first two months
111408,the next 15 years
111488,the top twelve guardsmen
111500,the top twenty competitors
111501,the top eight pistol shooters
111512,a career - high 20 goals
111830,the last five matches
111910,the top three to five players
111961,the past two decades
111962,"the last 15 , 20 years"
113108,the next two years
113543,all at least eight feet
113702,the first three Beatles
114064,the last twenty years
114635,a great many others
115579,a reported four children
115672,the first 16 minutes
115815,the next forty five minutes
116590,the last three days
117952,a further three charges
118200,the last five editions
118242,a great many journeys
118559,that very moment two little bits
118592,the next two years
118907,the next six years
119977,"the other , two labourers"
120376,the first seven Americans
120399,the last two years
120651,the first two volumes
121316,a certain fatal three days
121793,an extra two and a half hours
122944,the last eight weeks
124743,the previous six months
124746,the first few moments
125051,the first few months
125105,the second night twelve others
125253,the first day four white horses
125428,the last three years
126581,the first 24 hours
126582,the first 24 hours
126657,"an additional 3,000 supporters"
126676,the first two Democratic debates
126839,the next seven years
127059,The other two children
127666,the record of most three - pointers
129123,a heavy heart and many sighs
129427,a great many little earth
130245,the last two days
130577,the next three weeks
130625,the past several months
131301,a large head and two thick ears
131464,the previous two productions
131918,the next 12 years
132072,the past few years
132365,a great deal more stamping of feet
132404,the past few years
132555,the first two volumes
132646,the appointed four years
132656,Another fucking few minutes
132706,the past 15 years
132777,"the second , Two - eyes"
132819,the past 12 years
132877,the past 10 years
134841,the final ten years
135075,the late 1970 's
135297,"the late 1960s , groups"
135393,the past few years
135442,that very night two boys
135873,the other 540 games
135886,the last few weeks
136087,a great many sparrows
136238,The other 2 highways
136415,the Elizabethan era two generations
136989,a full four stars
137109,the last two years
137117,the last two years
138221,the last few weeks
138251,the next two months
138496,the last few days
139491,"the youngest , and two servants"
140385,a great many young children
140493,the other two Princes
140814,the first three days
140868,"these extended two , three hour versions"
140913,the top 500 supercomputers
140934,a great festival three days
141794,the first two films
142070,"the original , 25 years"
142497,the last few days
142899,the last few days
143062,the fairly unknown 1981 children
143563,A great many officers
144287,a great many other weapons
144425,a great many salaams
144800,the Top 50 MCs
144993,A great many Rajas
146441,the next several years
146886,a great many doors
148046,a great many rupees
148328,The last few nights
148355,a great many years
148436,the required three - fourths
148447,an additional ten states
148547,The following fifteen state legislatures
148599,the last few days
148660,the next few minutes
148844,the last few days
149034,the first three things
149538,a great many things
149565,the last three days
149791,the last few hours
150966,the last twelve months
151113,The other two Asian genera
151265,the last five hundred years
152294,the next ten years
152900,the last 25 years
153350,the last two decades
154026,The other 15 to 20 % of patients
154272,the other sixty - nine maidens
154631,the first two sections
155404,the next 246 years
155475,"the late 1700s , activists"
155767,a great many rupees
155933,a great many salaams
155940,the next 30 years
156330,The last three nights
156403,A great many Kings
156623,a great many birds
156664,the first few days
156938,a great many sepoys
156939,a great many miles
157113,a great many salaams
157885,all been delayed several times
158278,the next two years
159152,a cumulated 300 ECTS credits
159727,the other ten all brothers
159871,the past three years
160123,the last two years
160322,the last few days
160359,the next five years
161254,any such town twelve mouths
162483,a whole forty five minutes
162832,the last few days
163496,the first few episodes
163848,the last six months
164108,The first 13 episodes
164229,the first 15 episodes
164678,a record 26 times
164694,the Top 50 jockeys
164840,The last three years
165005,the top 100 companies
165087,the past ten years
165133,the other 51 scenarios
165613,a great many pieces
165678,the past six decades
166060,the next few years
166403,the other three men
166452,this past few days
166544,the next few days
166808,the next few days
167082,the next few days
167186,"An estimated 1,700 people"
167253,the next few days
167399,"an estimated 100,000 people"
168109,The first 64 bits
168272,the first three bytes
168312,the last eight round keys
169156,a great many people
169271,a great many slippers
169584,The next forty years
169828,the narrower and more turbulent waters
169902,an average sixty - six immigrants
170153,the last thirty years
170562,a great many children
170809,The federal government and many Canadian industries
171146,the next three days
171704,These next two sections
171777,the last few minutes
172315,The first ten amendments
172337,the past 227 years
172342,the other two qualifications
173615,"the Kenyan 5,000 m"
173662,an additional six months
174080,the first few games
174987,the last few days
175893,a very impressive 32 goals
175957,the opening two league games
176110,the first 56 minutes
176975,the past five years
177111,the next ten years
177173,the last few days
177800,the first few years
178192,the final two holes
179600,the loose - leaf brochure and seven sheets
179606,a good two years
179736,the last few days
179926,the last three films
179927,The first two films
179977,the main three characters
180620,the required 34 states
181315,the other two men
181958,the last 14 years
181995,the full forty character positions
182025,the first two or three frames
182028,a further ten frames
182306,these first ten machines
182451,the next few hours
182580,the last 9 digits
183191,the first few days
183212,the first five days
183594,a cumulated 300 ECTS credits
183850,a future Four Lands
184557,the last twenty three years
185506,the next two trains
186938,a mere nineteen lines
186945,the last two lines
187130,the final two 23B vehicles
187383,the last one hundred years
187607,The first five traits
188080,the first four leaves
188253,the first 43 psalms
188254,the final two - thirds
188329,the first fifty psalms
188330,the final 100 psalms
188574,the last eight years
188823,the first three seasons
188824,the first two seasons
189005,the last ten years
189063,the next few years
189145,"a new 10,000 m"
189241,a standard three or four sheets
189763,the top 50 episodes
191406,the next four years
191959,the other two siblings
192161,the last twenty to twenty - five years
193382,the next few weeks
193686,a separate one thousand five hundred pounds
194112,the first two books
194211,those first two days
194242,The other three days
195549,the next four months
198655,the last 50 years
199074,the full 90 minutes
199881,the next ten years
201373,the first two days
201701,the next two years
202736,the next 2 4 hours
203590,the previous several albums
203758,the next few years
203771,the past three days
204395,the last two to three years
204737,a miniature sleigh and eight tiny reindeer
204846,the front 38 inches
204899,the next eight years
205105,the other two people
205363,the last 120 yards
205744,the long three days
205843,the first seven series
205851,The final two months
205856,the final sixty strips
205972,a great many things
207905,a nationally known icon and many businesses
208734,"the estimated 60,000,000 fetuses"
208739,the other two stations
209357,a mere 360 metres
209373,the next 12 years
209550,a mere 360 metres
209626,the first seven weeks
210419,The current top three uses
210573,The next 50 years
210578,the last two decades
210923,the other two groups
210944,the top two teams
210947,the first two sessions
212213,the last two stages
212250,the popular six - day races
212258,the first 50 cyclists
212327,The fastest eight cyclists
212846,A great many birds
213073,the next four seasons
213128,the next four years
213194,the required 30 years
213653,the last two decades
213802,The latter two songs
214928,a great many more Mice
215095,the last six home matches
215440,the previous two years
215963,a good forty minutes
216331,The only two state routes
216483,the other two cats
216864,the first six seasons
217172,a round dozen blocks
218494,a great many friends
219462,the other two cats
219654,The original 35 mm negatives
219701,a great many people
219781,The Top 10 BDSM Movies
220064,a petty officer and four seamen
220417,The final three and a half weeks
220990,an estimated five million bricks
221000,the whole nine yards
221705,the last fifteen years
222467,the first three years
222496,the next few days
222931,a combined 5 minutes
223039,the cunning Three Eyes
223155,the first 2 weeks
223653,a good many cross
224271,the top 100 films
224567,the next two days
224647,the same planet many years
225164,the best 1000 films
226111,all mechanized four - wheel vehicles
226380,the next two seasons
227512,the next few years
227545,the early 1980s a number of homes
227572,the top 10 roadside attractions
228106,the top 20 candidates
