idx,prefixes,aann,default_ann
1,Although Nicki was,a good ten years,ten good years
2,""" But , Mr. Thompson , I have my hands in the filing cabinet filing the records you just gave me and the nearest phone is all the way over there , "" she pointed to a desk",a good twenty feet,twenty good feet
3,The trees were green and the temperature was,a balmy 25 degrees,25 balmy degrees
4,"On the other side of the square , Camille 's elegant Haussemanian apartments overlooked the spring greenery ,",a convenient two minutes,two convenient minutes
5,The temperature had risen to,a very pleasant 27 degrees,27 very pleasant degrees
8,"The work was n't well - paid or plentiful , but I did get",a helpful six months,six helpful months
10,Have had,a pretty hard two weeks,two pretty hard weeks
11,Landers ' face dropped so much that it looked as if he had aged,a good twenty years,twenty good years
12,This was going to be,a dreadful two nights,two dreadful nights
13,"It was now tight as bark , the bottom ending",a good three inches,three good inches
15,They stared at each other for,a full 10 seconds,10 full seconds
16,She held my gaze for,a full ten seconds,ten full seconds
19,I could not deny that I had lived,an entire seventeen years,seventeen entire years
20,I flipped backwards,a good twenty yards,twenty good yards
21,The impact of our bodies colliding sent us both,a good twenty yards,twenty good yards
22,"The weapon had been received nearly two years before , sometime shortly following his return from Bear Hill , appearing as a long white cylinder that he noticed only on venturing from the cabin after",a full three days,three full days
23,"Not long after that , and with",a good ten minutes,ten good minutes
26,"The pictures of the body made him shiver , but he looked at every one very carefully , spending almost",a full five minutes,five full minutes
27,"Still , it took",a good 45 minutes,45 good minutes
28,It was like that for,a whole two years,two whole years
29,Bake,an additional 10 minutes,10 additional minutes
30,Cook for 1 1/2 minutes and then flip and cook for,an additional 30 seconds,30 additional seconds
31,I looked up at the scoreboard and saw I had indeed lost,a whole 1.4 seconds,1.4 whole seconds
32,It took,a full two hundredths,two full hundredths
33,"By now I 'm going , what started out as",a simple three things,three simple things
34,It was,a good thirty minutes,thirty good minutes
35,"Kicks were tossed at each others ' neck , while punches where aimed to one another 's chin , it went on for",a full ten minutes,ten full minutes
37,It was,a full three seconds,three full seconds
38,"Bihydrant said , "" Our leader is",a full six inches,six full inches
39,"I was still one block away from home , but I needed the diversion , even though it meant me walking",an extra fifteen minutes,fifteen extra minutes
41,It takes me,a full two hours,two full hours
42,"The head Guardian , a stocky man with a colossal moustache and a scratchy voice , splits us into",a further five groups,five further groups
43,"Mrs. Poston 's apartment was neat and clean , not a speck of dust anywhere , and it felt like the thermostat was set to",a searing ninety degrees,ninety searing degrees
45,It 's been,a hard two years,two hard years
46,It took,an additional three months,three additional months
47,I spent,an additional 20 minutes,20 additional minutes
48,It was,a good 100 meters,100 good meters
51,The ground was,a good eight feet,eight good feet
53,"Indeed , not as instinctively spoken to the driver on his ' left ' side placing myself neatly in the middle of his back with the two fired shots fired from his pistol held under his right elbow missing me by",a solid four to five inches,four to five solid inches
54,You got them turned up,a good four inches,four good inches
61,We were silent for,a good fifteen minutes,fifteen good minutes
62,"They 'd only been at Ichiraku Ramen for twenty minutes , and Naruto had somehow managed to put away",a whopping thirteen bowls,thirteen whopping bowls
63,The same boy that everyone called ' dead - last ' and ' idiot ' had practically defined her in,a short four paragraphs,four short paragraphs
64,For,a good five minutes,five good minutes
65,It was going to be,a long three days,three long days
66,Their eyes met for,a brief two seconds,two brief seconds
67,It was going to be,a long three years,three long years
70,"We needed a few extra items ; towing mirrors , a water hose and fittings , a sullage hose ,",an electric 15 amps,15 electric amps
71,It was,a very busy three hours,three very busy hours
72,I bought,a spare 8 watts,8 spare watts
73,And rise they did — by,a staggering 20 times,20 staggering times
74,"Similar in height , he outweighed Sykes by",a good fifty pounds,fifty good pounds
75,The thing was,a good five feet,five good feet
78,""" Um , well , it 's great to meet you , Lucien , "" Chandler managed to stammer after",an obviously long two seconds,two obviously long seconds
79,That part of the trip lasted,a good two hours,two good hours
80,"Well , perhaps he could do it in that time , but I had my doubts and rightly so : it would take me",a good four hours,four good hours
82,"It seemed the other students passing through the hall knew not to get involved , because even though",a good ten feet,ten good feet
84,"It was spacious back there , with only a single bench seat , leaving",a good six feet,six good feet
86,"She tried it again , this time not sucking in so hard , and she was able to hold the smoke in for",a good five seconds,five good seconds
87,I told the guy there was,an extra fifty bucks,fifty extra bucks
88,""" You expect me to explain to you how the world is going to end in",a measly five minutes,five measly minutes
93,She scrambles up until she 's,a good twenty feet,twenty good feet
94,"She takes a shower , washes her hair and lather 's it in conditioner , leaving it on for",a full ten minutes,ten full minutes
95,"Unlike all the corporate locations , The Good Ship was",a mere 36 miles,36 mere miles
96,Her incredible tightness reminded him that,a mere two days,two mere days
97,It 's,a standard eight dollars,eight standard dollars
99,Emily and Thaddeus trailed their boy by,a good 30 yards,30 good yards
100,His eyes were closed for,a good five minutes,five good minutes
101,The genealogy continues exactly like this for,an additional thirteen verses,thirteen additional verses
103,"There was n't a second place finisher anywhere in sight , even standing around for",an extra five to ten minutes,five to ten extra minutes
104,That was,a scary fifteen minutes,fifteen scary minutes
106,"Fraser looked back at me , still standing there",a good twenty feet,twenty good feet
107,I waited,a good fifteen seconds,fifteen good seconds
113,Not that he would get,a full eight hours,eight full hours
114,Cory was,a good six inches,six good inches
118,This lasted for,a glorious three minutes,three glorious minutes
119,A prose writer 's prime lasts for,a mere twenty years,twenty mere years
122,"In the second row , the tunnels were fifty by twenty - five meters , and was used for barley , and had to be cooled to",a constant eighteen degrees,eighteen constant degrees
123,For,a full five seconds,five full seconds
126,You can stay for,an extra five minutes,five extra minutes
127,It had been,a long six days,six long days
128,Must 've set her back,a good ten bucks,ten good bucks
129,I had to look up,a good four inches,four good inches
132,The Mohawk gave him,an extra three inches,three extra inches
133,"Mr. Voth would have preferred that WEC choose Paknampo as the starting point of WEC work , because that would give a convenient railway link with Bangkok and",a mere five or six hours,five or six mere hours
134,Built up on posts,a full six feet,six full feet
135,Rosemary tells us that that return trip ( against the current ) took them,a full ten hours,ten full hours
136,"He had to be at least six feet tall ,",a good six inches,six good inches
139,"It 's a fine horse , a stallion , and I 'll give him to you for",a mere twenty pounds,twenty mere pounds
140,Then after his feed he 'd screamed for,a full two hours,two full hours
141,On the far end of the stable,an extra two rooms,two extra rooms
142,"It always showed up on time , giving me",an extra 30 minutes,30 extra minutes
143,It was,a long ten minutes,ten long minutes
144,We kept possession for,a whole three minutes,three whole minutes
145,Mount Hope was late to arrive to the field so we were courteous and gave them,an extra 15 minutes,15 extra minutes
146,I 'd say it was,a good two minutes,two good minutes
147,His conversation lasted,a good five minutes,five good minutes
148,"Danny glanced at his answering machine , which was atypically blinking furiously for attention , and indicating",an astounding thirteen messages,thirteen astounding messages
149,"Danny was released the next day , fourteen hours after the nurses stopped finding anything wrong with him , and",a mere twelve hours,twelve mere hours
150,Thirty - eight year old Allan Swanson gawked at the offerings for,a full five minutes,five full minutes
151,Allan spent,a good fifteen minutes,fifteen good minutes
152,Her partner was leaning so far back that the front legs of his chair rose,a good three inches,three good inches
153,"Sit over there , "" she pointed at a folding chair",a good thirty feet,thirty good feet
154,"As she explained it , the tiny , razor - sharp slot cutter , which measured",a meager three inches,three meager inches
156,"On Sunday morning an icy chill gripped the air , but the sun quickly rose over the bay nudging the temperature up to",a reasonable forty degrees,forty reasonable degrees
157,If anyone had suggested,a mere five minutes,five mere minutes
158,"There 's a raw wind and , without sun ,",a good twenty degrees,twenty good degrees
160,"At the Swenson Art Boutique a keepsake jewelry box fashioned from rosewood and bird's - eye maple sold for three hundred dollars , but the owner could n't cough up",a piddly ten bucks,ten piddly bucks
161,After we spend,a good twenty minutes,twenty good minutes
162,"In the distance ,",a good five minutes,five good minutes
170,This new chapter in their lives would be,a tough six months,six tough months
171,"Adrian takes up the tack and saddles Majoor up with the same care , but standing at",a mere 1.63 metres,1.63 mere metres
172,It will not be,an easy six months,six easy months
173,He was in the habit of taking long runs and it would never be strange for him to run,a good 10 kilometres,10 good kilometres
174,These two youngsters come from Grabouw and have not even served,a full three years,three full years
175,It has been,a hectic eight months,eight hectic months
176,"A twig snapped beneath her feet and Kyra ducked , worried the sound would give her away -- but her drunk older brothers were oblivious , already",a good thirty yards,thirty good yards
177,"Though wide and tall , the tunnel was shallow , ending after",a mere fifty yards,fifty mere yards
178,"It swiped again , and smashed out another chunk of rock , taking out",a good fifty feet,fifty good feet
179,Rundell had the best shiner he had seen in,a good fifteen years,fifteen good years
180,"Rall , that all - time great roof runner and Hall of Fame inductee",a full two years,two full years
182,I wasted,a good three hours,three good hours
183,"Siofra ca n't help but scream , gripping the wheel as the Jeep does",a full seven times,seven full times
185,It 's,a good 15 years,15 good years
189,"All the equipment for a grand total of eight hundred and fifty thousand US dollars , with the payment terms being , half after twelve months and the balance after",a further twelve months,twelve further months
190,"He then took a connecting flight directly to the Pudong Airport near Shanghai , and estimated that it probably took him",an additional ten hours,ten additional hours
191,"Once he understood that he was needed in order to save the life of the Layaz Warrior , he complied , with the caveat that the work on the ships might take",an additional two days,two additional days
192,They would have,an additional 307 ships,307 additional ships
193,"Again , they split into two columns , this time to strike on",a different two sides,two different sides
195,They arrived at the dock in a short time and saw Gill sitting by a booth trying to sign passengers for a trip to Groden for,a mere eight coppers,eight mere coppers
196,"He was a man of middle years ,",a good fifteen years,fifteen good years
197,It looks as though we will be,a good six or seven days,six or seven good days
200,I lay still,a full five minutes,five full minutes
201,""" Pat , it 'll take me",a good two hours,two good hours
202,I usually get,a good six to seven hours,six to seven good hours
205,She spun round,a full 360 degrees,360 full degrees
207,"Combat Marines also carry a pack that weighs around 90 pounds , with gunners carrying",an additional 50 or 60 pounds,50 or 60 additional pounds
208,_ Getting through to Kaiser took,a mere 48 minutes,48 mere minutes
209,"_ The "" safe "" level for arsenic in drinking water is",a tiny 10 parts,10 tiny parts
