idx,sentence,prefix,construction,default_nan,order_swap,no_article,no_modifier,no_numeral
1,The family spent an astonishing three days in London.,The family spent,a three astonishing days,three astonishing days,an astonishing three days,three astonishing days,a three days,an astonishing days
2,The family spent an astonishing three weeks in London.,The family spent,a three astonishing weeks,three astonishing weeks,an astonishing three weeks,three astonishing weeks,a three weeks,an astonishing weeks
3,The family spent an astonishing three months in London.,The family spent,a three astonishing months,three astonishing months,an astonishing three months,three astonishing months,a three months,an astonishing months
4,The family spent an astonishing three years in London.,The family spent,a three astonishing years,three astonishing years,an astonishing three years,three astonishing years,a three years,an astonishing years
5,The family spent an astonishing three hours in London.,The family spent,a three astonishing hours,three astonishing hours,an astonishing three hours,three astonishing hours,a three hours,an astonishing hours
6,The family spent an astonishing five days in London.,The family spent,a five astonishing days,five astonishing days,an astonishing five days,five astonishing days,a five days,an astonishing days
7,The family spent an astonishing five weeks in London.,The family spent,a five astonishing weeks,five astonishing weeks,an astonishing five weeks,five astonishing weeks,a five weeks,an astonishing weeks
8,The family spent an astonishing five months in London.,The family spent,a five astonishing months,five astonishing months,an astonishing five months,five astonishing months,a five months,an astonishing months
9,The family spent an astonishing five years in London.,The family spent,a five astonishing years,five astonishing years,an astonishing five years,five astonishing years,a five years,an astonishing years
10,The family spent an astonishing five hours in London.,The family spent,a five astonishing hours,five astonishing hours,an astonishing five hours,five astonishing hours,a five hours,an astonishing hours
11,The family spent an astonishing twenty days in London.,The family spent,a twenty astonishing days,twenty astonishing days,an astonishing twenty days,twenty astonishing days,a twenty days,an astonishing days
12,The family spent an astonishing twenty weeks in London.,The family spent,a twenty astonishing weeks,twenty astonishing weeks,an astonishing twenty weeks,twenty astonishing weeks,a twenty weeks,an astonishing weeks
13,The family spent an astonishing twenty months in London.,The family spent,a twenty astonishing months,twenty astonishing months,an astonishing twenty months,twenty astonishing months,a twenty months,an astonishing months
14,The family spent an astonishing twenty years in London.,The family spent,a twenty astonishing years,twenty astonishing years,an astonishing twenty years,twenty astonishing years,a twenty years,an astonishing years
15,The family spent an astonishing twenty hours in London.,The family spent,a twenty astonishing hours,twenty astonishing hours,an astonishing twenty hours,twenty astonishing hours,a twenty hours,an astonishing hours
16,The family spent an incredible three days in London.,The family spent,a three incredible days,three incredible days,an incredible three days,three incredible days,a three days,an incredible days
17,The family spent an incredible three weeks in London.,The family spent,a three incredible weeks,three incredible weeks,an incredible three weeks,three incredible weeks,a three weeks,an incredible weeks
18,The family spent an incredible three months in London.,The family spent,a three incredible months,three incredible months,an incredible three months,three incredible months,a three months,an incredible months
19,The family spent an incredible three years in London.,The family spent,a three incredible years,three incredible years,an incredible three years,three incredible years,a three years,an incredible years
20,The family spent an incredible three hours in London.,The family spent,a three incredible hours,three incredible hours,an incredible three hours,three incredible hours,a three hours,an incredible hours
21,The family spent an incredible five days in London.,The family spent,a five incredible days,five incredible days,an incredible five days,five incredible days,a five days,an incredible days
22,The family spent an incredible five weeks in London.,The family spent,a five incredible weeks,five incredible weeks,an incredible five weeks,five incredible weeks,a five weeks,an incredible weeks
23,The family spent an incredible five months in London.,The family spent,a five incredible months,five incredible months,an incredible five months,five incredible months,a five months,an incredible months
24,The family spent an incredible five years in London.,The family spent,a five incredible years,five incredible years,an incredible five years,five incredible years,a five years,an incredible years
25,The family spent an incredible five hours in London.,The family spent,a five incredible hours,five incredible hours,an incredible five hours,five incredible hours,a five hours,an incredible hours
26,The family spent an incredible twenty days in London.,The family spent,a twenty incredible days,twenty incredible days,an incredible twenty days,twenty incredible days,a twenty days,an incredible days
27,The family spent an incredible twenty weeks in London.,The family spent,a twenty incredible weeks,twenty incredible weeks,an incredible twenty weeks,twenty incredible weeks,a twenty weeks,an incredible weeks
28,The family spent an incredible twenty months in London.,The family spent,a twenty incredible months,twenty incredible months,an incredible twenty months,twenty incredible months,a twenty months,an incredible months
29,The family spent an incredible twenty years in London.,The family spent,a twenty incredible years,twenty incredible years,an incredible twenty years,twenty incredible years,a twenty years,an incredible years
30,The family spent an incredible twenty hours in London.,The family spent,a twenty incredible hours,twenty incredible hours,an incredible twenty hours,twenty incredible hours,a twenty hours,an incredible hours
31,The family spent an impressive three days in London.,The family spent,a three impressive days,three impressive days,an impressive three days,three impressive days,a three days,an impressive days
32,The family spent an impressive three weeks in London.,The family spent,a three impressive weeks,three impressive weeks,an impressive three weeks,three impressive weeks,a three weeks,an impressive weeks
33,The family spent an impressive three months in London.,The family spent,a three impressive months,three impressive months,an impressive three months,three impressive months,a three months,an impressive months
34,The family spent an impressive three years in London.,The family spent,a three impressive years,three impressive years,an impressive three years,three impressive years,a three years,an impressive years
35,The family spent an impressive three hours in London.,The family spent,a three impressive hours,three impressive hours,an impressive three hours,three impressive hours,a three hours,an impressive hours
36,The family spent an impressive five days in London.,The family spent,a five impressive days,five impressive days,an impressive five days,five impressive days,a five days,an impressive days
37,The family spent an impressive five weeks in London.,The family spent,a five impressive weeks,five impressive weeks,an impressive five weeks,five impressive weeks,a five weeks,an impressive weeks
38,The family spent an impressive five months in London.,The family spent,a five impressive months,five impressive months,an impressive five months,five impressive months,a five months,an impressive months
39,The family spent an impressive five years in London.,The family spent,a five impressive years,five impressive years,an impressive five years,five impressive years,a five years,an impressive years
40,The family spent an impressive five hours in London.,The family spent,a five impressive hours,five impressive hours,an impressive five hours,five impressive hours,a five hours,an impressive hours
41,The family spent an impressive twenty days in London.,The family spent,a twenty impressive days,twenty impressive days,an impressive twenty days,twenty impressive days,a twenty days,an impressive days
42,The family spent an impressive twenty weeks in London.,The family spent,a twenty impressive weeks,twenty impressive weeks,an impressive twenty weeks,twenty impressive weeks,a twenty weeks,an impressive weeks
43,The family spent an impressive twenty months in London.,The family spent,a twenty impressive months,twenty impressive months,an impressive twenty months,twenty impressive months,a twenty months,an impressive months
44,The family spent an impressive twenty years in London.,The family spent,a twenty impressive years,twenty impressive years,an impressive twenty years,twenty impressive years,a twenty years,an impressive years
45,The family spent an impressive twenty hours in London.,The family spent,a twenty impressive hours,twenty impressive hours,an impressive twenty hours,twenty impressive hours,a twenty hours,an impressive hours
46,The family spent a disappointing three days in London.,The family spent,a three disappointing days,three disappointing days,a disappointing three days,three disappointing days,a three days,a disappointing days
47,The family spent a disappointing three weeks in London.,The family spent,a three disappointing weeks,three disappointing weeks,a disappointing three weeks,three disappointing weeks,a three weeks,a disappointing weeks
48,The family spent a disappointing three months in London.,The family spent,a three disappointing months,three disappointing months,a disappointing three months,three disappointing months,a three months,a disappointing months
49,The family spent a disappointing three years in London.,The family spent,a three disappointing years,three disappointing years,a disappointing three years,three disappointing years,a three years,a disappointing years
50,The family spent a disappointing three hours in London.,The family spent,a three disappointing hours,three disappointing hours,a disappointing three hours,three disappointing hours,a three hours,a disappointing hours
51,The family spent a disappointing five days in London.,The family spent,a five disappointing days,five disappointing days,a disappointing five days,five disappointing days,a five days,a disappointing days
52,The family spent a disappointing five weeks in London.,The family spent,a five disappointing weeks,five disappointing weeks,a disappointing five weeks,five disappointing weeks,a five weeks,a disappointing weeks
53,The family spent a disappointing five months in London.,The family spent,a five disappointing months,five disappointing months,a disappointing five months,five disappointing months,a five months,a disappointing months
54,The family spent a disappointing five years in London.,The family spent,a five disappointing years,five disappointing years,a disappointing five years,five disappointing years,a five years,a disappointing years
55,The family spent a disappointing five hours in London.,The family spent,a five disappointing hours,five disappointing hours,a disappointing five hours,five disappointing hours,a five hours,a disappointing hours
56,The family spent a disappointing twenty days in London.,The family spent,a twenty disappointing days,twenty disappointing days,a disappointing twenty days,twenty disappointing days,a twenty days,a disappointing days
57,The family spent a disappointing twenty weeks in London.,The family spent,a twenty disappointing weeks,twenty disappointing weeks,a disappointing twenty weeks,twenty disappointing weeks,a twenty weeks,a disappointing weeks
58,The family spent a disappointing twenty months in London.,The family spent,a twenty disappointing months,twenty disappointing months,a disappointing twenty months,twenty disappointing months,a twenty months,a disappointing months
59,The family spent a disappointing twenty years in London.,The family spent,a twenty disappointing years,twenty disappointing years,a disappointing twenty years,twenty disappointing years,a twenty years,a disappointing years
60,The family spent a disappointing twenty hours in London.,The family spent,a twenty disappointing hours,twenty disappointing hours,a disappointing twenty hours,twenty disappointing hours,a twenty hours,a disappointing hours
61,The family spent a surprising three days in London.,The family spent,a three surprising days,three surprising days,a surprising three days,three surprising days,a three days,a surprising days
62,The family spent a surprising three weeks in London.,The family spent,a three surprising weeks,three surprising weeks,a surprising three weeks,three surprising weeks,a three weeks,a surprising weeks
63,The family spent a surprising three months in London.,The family spent,a three surprising months,three surprising months,a surprising three months,three surprising months,a three months,a surprising months
64,The family spent a surprising three years in London.,The family spent,a three surprising years,three surprising years,a surprising three years,three surprising years,a three years,a surprising years
65,The family spent a surprising three hours in London.,The family spent,a three surprising hours,three surprising hours,a surprising three hours,three surprising hours,a three hours,a surprising hours
66,The family spent a surprising five days in London.,The family spent,a five surprising days,five surprising days,a surprising five days,five surprising days,a five days,a surprising days
67,The family spent a surprising five weeks in London.,The family spent,a five surprising weeks,five surprising weeks,a surprising five weeks,five surprising weeks,a five weeks,a surprising weeks
