idx,construction,corrupted_construction,corrupted_sentence
1,a good ten years,a ten good years,"Although Nicki was a ten good years older than herself , she had treated Faedra like a sister and taken her under her wing ."
2,a good twenty feet,a twenty good feet,""" But , Mr. Thompson , I have my hands in the filing cabinet filing the records you just gave me and the nearest phone is all the way over there , "" she pointed to a desk a twenty good feet away ."
3,a balmy 25 degrees,a 25 balmy degrees,The trees were green and the temperature was a 25 balmy degrees with a slight breeze swaying the branches .
4,a convenient two minutes,a two convenient minutes,"On the other side of the square , Camille 's elegant Haussemanian apartments overlooked the spring greenery , a two convenient minutes from the market where a kaleidoscope of scenes met Anna 's eye , so different from her home in San Sebastian ."
5,a very pleasant 27 degrees,a 27 very pleasant degrees,"The temperature had risen to a 27 very pleasant degrees , strangely the streets seemed half - deserted of traffic ."
6,"a further 100,000 hectares","a 100,000 further hectares","Then , in 2019 , in spite of protestation , a 100,000 further hectares were lost in the Tinigua , Serrania de Chiribiquete and Sierra de la Macarena National Parks and in the Nukak National Natural Reserve ."
7,a second two weeks,a two second weeks,"At the same time frenetic work commenced on the building of a new 1,000 bed hospital to handle those infected by the disease , it would be operational in a week the authorities announced , and a two second weeks later ."
8,a helpful six months,a six helpful months,"The work was n't well - paid or plentiful , but I did get a six helpful months as the assistant restorer on a project to restore the Fifteenth century wood panel paintings of Saints in a Church in East Anglia ."
9,a few hundred yards,a hundred few yards,"The town had a market - place and a hundred few yards of tarmacked roads , but they quickly petered out into the desert ."
10,a pretty hard two weeks,a two pretty hard weeks,Have had a two pretty hard weeks getting ready for my poor .
11,a good twenty years,a twenty good years,"Landers ' face dropped so much that it looked as if he had aged a twenty good years in a couple of seconds . """
12,a dreadful two nights,a two dreadful nights,This was going to be a two dreadful nights .
13,a good three inches,a three good inches,"It was now tight as bark , the bottom ending a three good inches above where her low - riding miniskirt began ."
14,a few hundred yards,a hundred few yards,Olivia walked in a hundred few yards and sat on a flat log that she liked .
15,a full 10 seconds,a 10 full seconds,They stared at each other for a 10 full seconds .
16,a full ten seconds,a ten full seconds,She held my gaze for a ten full seconds before she eventually dragged her focus away to play with the hem of her pink tee shirt .
17,a small eight times,a eight small times,"Dad had a eight small times magnification telescopic telescope he let me use to view the stars at night , I went and got it to take a closer look at this strange sight in the sky ."
18,a few hundred people,a hundred few people,Lucy went down tunnel 2 which led to a large canteen where a hundred few people were gathering .
19,an entire seventeen years,an seventeen entire years,"I could not deny that I had lived an seventeen entire years feeling consistently out of sync with the world , and now that I knew what I was , I only felt more out of place ."
20,a good twenty yards,a twenty good yards,I flipped backwards a twenty good yards to safety before landing in a defensive crouched position ready for their retaliation .
21,a good twenty yards,a twenty good yards,The impact of our bodies colliding sent us both a twenty good yards into the surf .
22,a full three days,a three full days,"The weapon had been received nearly two years before , sometime shortly following his return from Bear Hill , appearing as a long white cylinder that he noticed only on venturing from the cabin after a three full days respite ."
23,a good ten minutes,a ten good minutes,"Not long after that , and with a ten good minutes hard paddling still to go before his destination , a new crisis presented itself ."
24,an extra six inches,an six extra inches,"He had planned it this way , had raised the blind an six extra inches to enhance the effect ."
25,a full four feet,a four full feet,"Three huge , black , iron hinges were placed as the wall went up , their support wings going back into the granite and concrete a four full feet ."
26,a full five minutes,a five full minutes,"The pictures of the body made him shiver , but he looked at every one very carefully , spending almost a five full minutes on each ."
27,a good 45 minutes,a 45 good minutes,"Still , it took a 45 good minutes and he was beginning to feel the pangs of hunger ."
28,a whole two years,a two whole years,It was like that for a two whole years and I saw a reason to change my story .
29,an additional 10 minutes,an 10 additional minutes,Bake an 10 additional minutes until the marshmallows are melted .
30,an additional 30 seconds,an 30 additional seconds,Cook for 1 1/2 minutes and then flip and cook for an 30 additional seconds . (
31,a whole 1.4 seconds,a 1.4 whole seconds,"I looked up at the scoreboard and saw I had indeed lost a 1.4 whole seconds off my previous record time . """
32,a full two hundredths,a two full hundredths,It took a two full hundredths of a second for me to jump off and follow him ; then race was really on .
33,a simple three things,a three simple things,"By now I 'm going , what started out as a three simple things , which were : have a longing for God 's Love , have a longing for God 's Truth , and feel all of my emotions in humility — which all sounds pretty easy to do really , it seems pretty simple to me — all of a sudden there are all of these aspects of it so that , those three things , they feel almost impossible now , particularly the third one , the one about being humble and feeling everything ."
34,a good thirty minutes,a thirty good minutes,It was a thirty good minutes before I calmed down enough to even try to sleep .
35,a full ten minutes,a ten full minutes,"Kicks were tossed at each others ' neck , while punches where aimed to one another 's chin , it went on for a ten full minutes and neither one of the two girls looked tier ."
36,a meager hundred dollars,a hundred meager dollars,"They came with nothing and worked for nothing but their board , three squares a day and chits for a hundred meager dollars a week , which they were encouraged to save ."
37,a full three seconds,a three full seconds,It was a three full seconds before he looked up and saw her .
38,a full six inches,a six full inches,"Bihydrant said , "" Our leader is a six full inches ."
39,an extra fifteen minutes,an fifteen extra minutes,"I was still one block away from home , but I needed the diversion , even though it meant me walking an fifteen extra minutes ."
40,an additional thirty minutes,an thirty additional minutes,""" We 'll wait for an thirty additional minutes , "" Dad chipped in . """
41,a full two hours,a two full hours,It takes me a two full hours to reach the closest border in Ealing Zone .
42,a further five groups,a five further groups,"The head Guardian , a stocky man with a colossal moustache and a scratchy voice , splits us into a five further groups — one for east , west , south , north , and the centre of the zone ."
43,a searing ninety degrees,a ninety searing degrees,"Mrs. Poston 's apartment was neat and clean , not a speck of dust anywhere , and it felt like the thermostat was set to a ninety searing degrees . """
44,a few hundred dollars,a hundred few dollars,Aja had gotten a hundred few dollars from some scholarships she 'd applied for .
45,a hard two years,a two hard years,It 's been a two hard years .
46,an additional three months,an three additional months,"It took an three additional months , but day by day she began to regain her strength ."
47,an additional 20 minutes,an 20 additional minutes,I spent an 20 additional minutes emailing attachments to everyone so they 'd have them first thing in the morning .
48,a good 100 meters,a 100 good meters,It was a 100 good meters to the gate and they both silently prayed that the guard towers were indeed empty .
49,a few hundred beats,a hundred few beats,"Finally , when his heart had hammered a hundred few beats , he risked opening his eyes ."
50,a few hundred yards,a hundred few yards,"The river turned south again , allowing Dodge a chance to gain a hundred few yards by cutting the corner above the Dahlgren US Naval Proving Grounds ."
51,a good eight feet,a eight good feet,The ground was a eight good feet below the dangling soles of her shoes .
52,a couple thousand miles,a thousand couple miles,"The fellows we , ah , questioned told us that they only went as far as a base camp on a bleak little lump of rock called Flat Island , a thousand couple miles to the south in the middle of the Indian Ocean ."
53,a solid four to five inches,a four to five solid inches,"Indeed , not as instinctively spoken to the driver on his ' left ' side placing myself neatly in the middle of his back with the two fired shots fired from his pistol held under his right elbow missing me by a four to five solid inches ."
54,a good four inches,a four good inches,"You got them turned up a four good inches at the bottom . """
55,a few thousand years,a thousand few years,Maybe it was different a thousand few years ago .
56,a few hundred years,a hundred few years,"If a country can learn to make adjustments on an on - going basis , it 's got a good chance of survival for at least a hundred few years ."
57,a mere ten minutes,a ten mere minutes,Carter Champion was born a ten mere minutes before her but always – through words and deeds – assumed the older brother role .
58,a few thousand feet,a thousand few feet,"As I stared , I realized I was looking at a city as though a thousand few feet above it ."
59,a few hundred feet,a hundred few feet,"Now , with each drop of the cage , it catapulted a hundred few feet closer ."
60,a few hundred feet,a hundred few feet,Tee 's tires slipped and popped on loose rock as we advanced a hundred few feet uphill on Shastina .
61,a good fifteen minutes,a fifteen good minutes,We were silent for a fifteen good minutes before he actually spoke .
62,a whopping thirteen bowls,a thirteen whopping bowls,"They 'd only been at Ichiraku Ramen for twenty minutes , and Naruto had somehow managed to put away a thirteen whopping bowls of noodles !"
63,a short four paragraphs,a four short paragraphs,The same boy that everyone called ' dead - last ' and ' idiot ' had practically defined her in a four short paragraphs .
64,a good five minutes,a five good minutes,"For a five good minutes , neither of them moved ."
65,a long three days,a three long days,It was going to be a three long days .
66,a brief two seconds,a two brief seconds,"Their eyes met for a two brief seconds , long enough for a silent understanding to pass between them ."
67,a long three years,a three long years,It was going to be a three long years .
68,a few hundred years,a hundred few years,How is she outrunning me when I am at least a hundred few years younger .
69,a few hundred people,a hundred few people,There had to be a hundred few people on the list .
70,an electric 15 amps,an 15 electric amps,"We needed a few extra items ; towing mirrors , a water hose and fittings , a sullage hose , an 15 electric amps power lead , and D shackles for the towing chains ."
71,a very busy three hours,a three very busy hours,It was a three very busy hours !
72,a spare 8 watts,a 8 spare watts,I bought a 8 spare watts neon tube for our camping lantern .
73,a staggering 20 times,a 20 staggering times,And rise they did — by a 20 staggering times their original value during January 1637 .
74,a good fifty pounds,a fifty good pounds,"Similar in height , he outweighed Sykes by a fifty good pounds , mostly the result of the raspberry Danishes he seemed to vacuum up every morning ."
75,a good five feet,a five good feet,"The thing was a five good feet on a side , covered in a heavy blanket , like most of the furniture downstairs ."
76,a few hundred yards,a hundred few yards,Last weekend she 'd made Onion tote their heavy cooler all the way back to the car twice after she 'd got to the top of the dune and seen other people within a hundred few yards of open beach .
77,a few hundred yards,a hundred few yards,"But as if fate chose not to let Brooke shrug off her obligations so conveniently , a Navy fighter jet roared out of the south , its rumble audible seconds before is silver skin came visible a hundred few yards offshore and not twenty feet above the waves ."
78,an obviously long two seconds,an two obviously long seconds,""" Um , well , it 's great to meet you , Lucien , "" Chandler managed to stammer after an two obviously long seconds . """
79,a good two hours,a two good hours,That part of the trip lasted a two good hours .
80,a good four hours,a four good hours,"Well , perhaps he could do it in that time , but I had my doubts and rightly so : it would take me a four good hours with many stops , David patiently waiting for me along the way ."
81,a few hundred feet,a hundred few feet,"And a hundred few feet away , straight toward us rushes the spectator fleet , a huge coastguard cutter in the lead , whence comes a disincarnated voice : "" Trimaran ahoy !"
82,a good ten feet,a ten good feet,"It seemed the other students passing through the hall knew not to get involved , because even though a ten good feet separated them , no one passed through the area between ."
83,a few thousand years,a thousand few years,Funny what difference a thousand few years made .
84,a good six feet,a six good feet,"It was spacious back there , with only a single bench seat , leaving a six good feet of open floor ."
85,a balmy forty degrees,a forty balmy degrees,"The cold snap had finally broken , the temperature outside a forty balmy degrees ."
