idx,corruption,aann,corrupted_construction,diff
2,order_swap,an astonishing three weeks,a three astonishing weeks,1.8296244144439697
2,no_article,an astonishing three weeks,astonishing three weeks,2.1375715732574463
2,no_modifier,an astonishing three weeks,a three weeks,1.0385358333587646
2,no_numeral,an astonishing three weeks,an astonishing weeks,2.240851640701294
3,order_swap,an astonishing three months,a three astonishing months,2.0433013439178467
3,no_article,an astonishing three months,astonishing three months,2.0968167781829834
3,no_modifier,an astonishing three months,a three months,1.2491161823272705
3,no_numeral,an astonishing three months,an astonishing months,2.34546160697937
4,order_swap,an astonishing three years,a three astonishing years,2.1049511432647705
4,no_article,an astonishing three years,astonishing three years,2.158522844314575
4,no_modifier,an astonishing three years,a three years,1.770420789718628
4,no_numeral,an astonishing three years,an astonishing years,2.246690511703491
7,order_swap,an astonishing five weeks,a five astonishing weeks,1.8889806270599365
7,no_article,an astonishing five weeks,astonishing five weeks,2.1834099292755127
7,no_modifier,an astonishing five weeks,a five weeks,1.4975426197052002
7,no_numeral,an astonishing five weeks,an astonishing weeks,2.159156084060669
8,order_swap,an astonishing five months,a five astonishing months,2.1159510612487797
8,no_article,an astonishing five months,astonishing five months,2.085262775421143
8,no_modifier,an astonishing five months,a five months,1.6654496192932133
8,no_numeral,an astonishing five months,an astonishing months,2.3398175239562993
10,order_swap,an astonishing five hours,a five astonishing hours,2.4611945152282715
10,no_article,an astonishing five hours,astonishing five hours,2.0928359031677246
10,no_modifier,an astonishing five hours,a five hours,2.2263245582580566
10,no_numeral,an astonishing five hours,an astonishing hours,2.1250014305114746
11,order_swap,an astonishing twenty days,a twenty astonishing days,2.2333712577819824
11,no_article,an astonishing twenty days,astonishing twenty days,2.1376709938049316
11,no_modifier,an astonishing twenty days,a twenty days,1.8539414405822754
11,no_numeral,an astonishing twenty days,an astonishing days,1.599937915802002
13,order_swap,an astonishing twenty months,a twenty astonishing months,2.4718947410583496
13,no_article,an astonishing twenty months,astonishing twenty months,2.31919002532959
13,no_modifier,an astonishing twenty months,a twenty months,2.3381476402282715
13,no_numeral,an astonishing twenty months,an astonishing months,1.5771656036376953
18,order_swap,an incredible three months,a three incredible months,2.090951919555664
18,no_article,an incredible three months,incredible three months,2.1022019386291504
