sentence_idx,sentence
2,"Well that's it for our first look at our new building, I hope you're as excited as I am, and I hope to come back in a month or so and give you an updated look at our new building."
5062658,And you're ten times bigger than I am.
7372802,Happiness may be closer than you think.
10788870,"Maybe not all of it, but more than you think."
8839177,● Worse than you think.
10485773,She's much smarter than you think.
16,MARK MORZE: --people.
18,"What's fascinating about the Z Best case is, number one, we had the real division at Z Best that cleaned carpets."
6316052,"He was sent to the Mathmos, but was no more digestible than you are."
49176,"Just try to take it off, and you will soon find out that I am more powerful than you are!”"
6250522,"But the second derivative can be as big or as negative as I'd like, by choosing x appropriately."
6225947,I'm twice as good looking as he is!
8249371,"If he's even half as good as you say, you got a permanent spot on my crew here in Chicago."
8839198,That guy is screwier than you are.
8241184,There could be as many as we can imagine.
34,But accounting work takes a lot of time.
35,"And you can't just say, I need an audit tomorrow."
8015752,- It's not as bad as it looks.
38,How could that be?
434217,"I shall have a new ribbon for my hair, and Marmee will lend me her little pearl pin, and my new slippers are lovely, and my gloves will do, though they aren't as nice as I'd like."""
46,"Watergate hearings, when he'd go, well, I'll just an old, dumb country lawyer."
47,Yeah.
48,Grab your wallet and run when somebody says that.
50,And so what we fraudsters do is we act a little dumb.
1490995,It's not as easy as it sounds.
3874870,It might be harder than you think.
55,"Then you basically, by accepting my work at some point, tell me what your benchmark is."
56,It can be high.
57,It can be low.
58,"But as long as you tell me what it is, I'll always give you just exactly enough to squeak by."
59,"And in that way, I get you to do the heavy lifting for me."
2449468,"`` Simple as it looks , '' said he , `` this little edifice seems to be the work of magic ."
2465853,"`` Come on , then , '' cried his comrades , `` and we 'll soon know as much as he does . ''"
62,"But if you signed 100 things before, it's just another one, oh, and sign this one, too."
63,People get suspicious when they think they're trying to be forced into something.
7495741,As many as you like.
10362947,Now you know as much as I do.
4292676,What if Miss Ives should prove stronger than you think.
69,"I did hundreds of millions of dollars of transactions using cashier's checks, where I would buy a cashier's check, which the check you use to buy a cashier's check is made out to the bank."
5963845,The part of you that you *** make us as powerfully alive as you are.
10723397,"That creature's mind, it's so repellent, it was almost more than I could bear."
10731593,Maybe not everything is as black and white as it appears.
524362,"What he would do afterwards whether he would try to crawl right across the island from North Inlet to the camp among the swamps or whether he would fire Long Tom, trusting that his own comrades might come first to help him was, of course, more than I could say."
75,"Out of a few hundred million dollars worth of checks that were written, the auditors never saw one canceled cashier's check."
9584716,"I am healthier than I look, stronger than I look, faster than I look."
540754,"He will make himself believe that I mean more than I say."""
88,And the bid and acceptance was all the same piece of paper.
89,"Also, it was the front side of one sheet of paper."
65625,"This year, things are a little different as I'll discuss."
92,like a small phone book.
1654876,"`` If I did and then was disappointed , it would be more than I could bear ."
5750876,"There's an old saying that there's not such thing as a free lunch, but this is about as close as you can get."
7159904,offer less than they threaten?
97,"And I said, yeah, like a million."
98,"He said, could you just write down, during lunch today, some questions that if people had asked, you had no answer for?"
99,"Well, I wrote 200 of them in one lunch period."
100,And each one of those were the type where I really couldn't even dream up a fake answer.
101,So I sat there in constant fear that someone was going to ask these things.
102,"And lo and behold, no one every did."
3891300,redecorate the room and then I'll then I'll bring it over  cos you've got more than we have.
104,"No one ever said, how do you pull your permits?"
106,"And yet, it was common knowledge."
110,One auditor is doing your bank reconciliation.
112,Another one's checking your receivables.
8274036,Less charming than you remember?
117,No one ever talk to our vendors because--
125,"Tough Techs, a carpet company."
9584765,"As shooters go, Mars is as gifted as they get."
10592381,"It's awful, having a grandpa who's even smaller than I am."
2056321,Its mingled delight and pain were almost more than he could bear .
130,None of the bogus vendors had any phone numbers.
131,Their invoices never had phone numbers on them.
10567812,"Hey God, can this world really be as sad as it seems."
133,No phone calls were ever made to a vendor.
10117254,"They're ready to fight, for as long as it takes."
135,"And all of the vendors, supposedly, were within about a three square mile area, right there in the heart of"
136,"LA, so they could have-- actually, in the heart of the"
139,"I think the biggest lesson that has to be learned is that, if for no other reason than there it doesn't even appear to be a conflict of interest, you must periodically bring in outsiders who have impunity from offending you."
6414475,it will take the place of all that another than thyself might desire.
10379405,Take as much as you like.
10551437,"""Now you can be taller than she is""?"
143,"But it's almost always the belief that the real loyalty that any internal auditor, any ethics person, or any compliance officer has is to the company that pays him his check, for god sakes."
10551438,"Well, it sounds funnier than it is, but I'm just..."
146,There's no favoritism.
148,He's got a retainer with you.
3039381,But to have Sammy Jay call everybody within hearing to come and see him was more than he could stand .
7610516,"Nevertheless, the generators as--that we use are all tested beforehand for true randomness and as good as we can get, and the sequences used in the actual experiment are tested as well."
151,"Remember, they're the real ones that need these kind of protections."
7422103,I've settled for far less than I deserve.
156,"And about the only way you can do that is to bring in someone whose loyalty is, hopefully, to the truth, instead of to keeping the company going."
1745053,'We must be really better than we know.
3031196,"In this scenario, we are like the animal, and we are communicating with beings who know and understand much far more than we do."
2277535,I hope you are as happy as you look . '
8323230,That microfilm's worth more than I am.
8781986,BUT IT'S EVEN TOUGHER THAN YOU CAN IMAGINE.
327843,We’re neither of us good lookin’ an’ we’re both of us as sour as we look.
2023589,advantage of knowing more than they do.
6365355,As many as you need.
172,A lack of due diligence on the people who were hired to do due diligence.
11190444,"Tell me: what would you do if you were stronger than I am, Brad?"
174,"Lastly, I would say to somebody, you have to have the personal courage and integrity to say, I will walk away from this job."
5742766,"Well, I'm sure you're as pleased as I am."
176,"As much as I want my kids in private school, I will walk from this job if this activity continues."
179,And that is very different from what's been before.
184,There is no honor among thieves.
4292796,Is it as important as I suggest?
1015997,"All-around we're finding that this recovery, as tepid as it may be, is increasingly looking unsustainable."
190,"And I say, every single day that you're at work, spend two minutes, only two minutes, doing some kind of extra due diligence."
191,Go online and check industry standards if you don't understand a company that you're doing auditing work for.
6283456,The Great One is even braver than I could imagine.
193,Call a bank reference.
194,Check with Dun and Bradstreet.
195,Check to see if they're incorporated properly.
196,See if they pull the right permits for safety violations or whatever it might be.
8749245,- They're much tougher than you think.
198,Visit one of their vendors.
8118470,"She won't take any of his usual schtick and she can give as good as he can get, so the relationship's more fun to watch."
10354888,"Oh, I'm much more sorry than you are."
203,"Send an email to somebody that you trust, addressed to them, and then walk away from it."
4022476,And what can be the use of him is more than I can see.
205,And you did them just so you could see if there was something hinky or fraudulent or bad out there.
206,"At the end of two or three years, you'll have a volume that you'll be able to show to somebody."
207,"Because in this day and age, and it's an awful thing to have had happen, you frequently have to prove your innocence."
4194511,"I hope you will find this information as fascinating and illuminating as I do, because psychology touches everything we do as humans."
3080403,The old sinner is no more dead than I am .
213,Only you can do that to indemnify yourself.
214,"Then if a fraud happens, if something happens, and a decision maker-- read that as a prosecutor or civil"
215,"litigant-- has to go, I'm either going to lean this way on this person or I'm going to lean that way, they will always lean in your favor."
8184022,Miss Kirari... is just as afraid as you are.
8331479,I'm late as it is.
218,Welcome to this first course in the design and analysis of algorithms.
8487125,You're as guilty as I am.
220,I'm giving you several different motivations for learning about algorithms.
1401052,Is more important than I can say.
224,"So, for example, maybe you're given a bunch of numbers and you want to rearrange them into sorted order."
227,"So, why study algorithms?"
235,"In, say, computer graphics, you need the computational primitives that are supplied by the study of geometric algorithms."
6742251,"I'm as frustrated as you are, but don't you think this is a Democrat problem?"
286960,"The wife was a good wife enough , but her mind was all on her family and her farm , and she hardly ever went to her knees without falling asleep , and she thought the time spent in the chapel was twice as long as it need be ."
241,Let me just state one super obvious one.
10141936,"Why not, my school's over-crowded as it is."
6250739,he is a lot more patient than i am .
10518770,That's because you're not as romantic as I am.
9879797,It can be as long or as short as we need.
8126711,That's why it's insane that she thinks she's more prepared than I am.
10789112,I'm buying as many as you can swallow.
467193,"They know we are poor, so it's no use pretending that we have grooms, buy three or four hats a season, and have things as easy and fine as they do."""
11026679,You are younger than you are!
251,"You find the, the concepts challenging but perhaps you feel just a tinge smarter after we're done."
254,"So, let's now descend from these lofty generalities and get much more concrete."
24833,"All of these details, foolish and sentimental as they may seem, go to"
258,"So, let's just make that a"
2089218,Aunt Susanna has a big house and lots of money but she is n't as happy as we are .
260,"In this computational problem, we're given as input, two numbers, let's say with n digits."
8462597,We're more alike than we realize.
2973958,"If it comes to a fight, you can give as good as you get."
9371905,- I'm sorrier than you are.
10903813,Red as it is.
268,"Okay, back to integer multiplication."
5054734,"His name is popularly known because of Orgel's rules, credited to him, particularly Orgel's Second Rule: ""Evolution is cleverer than you are""."
