idx,sentence,prefixes,construction,default_nan,order_swap,no_article,no_modifier,no_numeral
1,The family spent an astonishing three days in London.,The family spent,an astonishing three days,three astonishing days,a three astonishing days,astonishing three days,a three days,an astonishing days
2,The family spent an astonishing three weeks in London.,The family spent,an astonishing three weeks,three astonishing weeks,a three astonishing weeks,astonishing three weeks,a three weeks,an astonishing weeks
3,The family spent an astonishing three months in London.,The family spent,an astonishing three months,three astonishing months,a three astonishing months,astonishing three months,a three months,an astonishing months
4,The family spent an astonishing three years in London.,The family spent,an astonishing three years,three astonishing years,a three astonishing years,astonishing three years,a three years,an astonishing years
5,The family spent an astonishing three hours in London.,The family spent,an astonishing three hours,three astonishing hours,a three astonishing hours,astonishing three hours,a three hours,an astonishing hours
6,The family spent an astonishing five days in London.,The family spent,an astonishing five days,five astonishing days,a five astonishing days,astonishing five days,a five days,an astonishing days
7,The family spent an astonishing five weeks in London.,The family spent,an astonishing five weeks,five astonishing weeks,a five astonishing weeks,astonishing five weeks,a five weeks,an astonishing weeks
8,The family spent an astonishing five months in London.,The family spent,an astonishing five months,five astonishing months,a five astonishing months,astonishing five months,a five months,an astonishing months
9,The family spent an astonishing five years in London.,The family spent,an astonishing five years,five astonishing years,a five astonishing years,astonishing five years,a five years,an astonishing years
10,The family spent an astonishing five hours in London.,The family spent,an astonishing five hours,five astonishing hours,a five astonishing hours,astonishing five hours,a five hours,an astonishing hours
11,The family spent an astonishing twenty days in London.,The family spent,an astonishing twenty days,twenty astonishing days,a twenty astonishing days,astonishing twenty days,a twenty days,an astonishing days
12,The family spent an astonishing twenty weeks in London.,The family spent,an astonishing twenty weeks,twenty astonishing weeks,a twenty astonishing weeks,astonishing twenty weeks,a twenty weeks,an astonishing weeks
13,The family spent an astonishing twenty months in London.,The family spent,an astonishing twenty months,twenty astonishing months,a twenty astonishing months,astonishing twenty months,a twenty months,an astonishing months
14,The family spent an astonishing twenty years in London.,The family spent,an astonishing twenty years,twenty astonishing years,a twenty astonishing years,astonishing twenty years,a twenty years,an astonishing years
15,The family spent an astonishing twenty hours in London.,The family spent,an astonishing twenty hours,twenty astonishing hours,a twenty astonishing hours,astonishing twenty hours,a twenty hours,an astonishing hours
16,The family spent an incredible three days in London.,The family spent,an incredible three days,three incredible days,a three incredible days,incredible three days,a three days,an incredible days
17,The family spent an incredible three weeks in London.,The family spent,an incredible three weeks,three incredible weeks,a three incredible weeks,incredible three weeks,a three weeks,an incredible weeks
18,The family spent an incredible three months in London.,The family spent,an incredible three months,three incredible months,a three incredible months,incredible three months,a three months,an incredible months
19,The family spent an incredible three years in London.,The family spent,an incredible three years,three incredible years,a three incredible years,incredible three years,a three years,an incredible years
20,The family spent an incredible three hours in London.,The family spent,an incredible three hours,three incredible hours,a three incredible hours,incredible three hours,a three hours,an incredible hours
21,The family spent an incredible five days in London.,The family spent,an incredible five days,five incredible days,a five incredible days,incredible five days,a five days,an incredible days
22,The family spent an incredible five weeks in London.,The family spent,an incredible five weeks,five incredible weeks,a five incredible weeks,incredible five weeks,a five weeks,an incredible weeks
23,The family spent an incredible five months in London.,The family spent,an incredible five months,five incredible months,a five incredible months,incredible five months,a five months,an incredible months
24,The family spent an incredible five years in London.,The family spent,an incredible five years,five incredible years,a five incredible years,incredible five years,a five years,an incredible years
25,The family spent an incredible five hours in London.,The family spent,an incredible five hours,five incredible hours,a five incredible hours,incredible five hours,a five hours,an incredible hours
26,The family spent an incredible twenty days in London.,The family spent,an incredible twenty days,twenty incredible days,a twenty incredible days,incredible twenty days,a twenty days,an incredible days
27,The family spent an incredible twenty weeks in London.,The family spent,an incredible twenty weeks,twenty incredible weeks,a twenty incredible weeks,incredible twenty weeks,a twenty weeks,an incredible weeks
28,The family spent an incredible twenty months in London.,The family spent,an incredible twenty months,twenty incredible months,a twenty incredible months,incredible twenty months,a twenty months,an incredible months
29,The family spent an incredible twenty years in London.,The family spent,an incredible twenty years,twenty incredible years,a twenty incredible years,incredible twenty years,a twenty years,an incredible years
30,The family spent an incredible twenty hours in London.,The family spent,an incredible twenty hours,twenty incredible hours,a twenty incredible hours,incredible twenty hours,a twenty hours,an incredible hours
